OBJECTID,globalid,stopID,onSt,atSt,stopName,STP_P,BNCH,SHLT,TRF,_ADA,PUB_WAY,JURIS,AssessStatus,StNameChg,StNameChg2,Lighting,ADAPad,ROW_ADA,Sidewalk,Avg_Brd,Avg_Alght,Meter1,InstallPoleYN,TStopHoles,installInfo,routes,TNPExistingPoles,TParkPoles,TParkHoles,tParkPolesInstalled,tParkSigns,tParkSignsInstalled,Tholes,assignedPos,assignedInstSurf,installSurface,installPos,distToIntersection,estimated_irregular_distance_to,installBusStopPole,NPSurface,parkSignRear,parkSignNSFront,parkSignMBFront,parkSignFarside,installToSpec,install_comments,approved,approvalComments,delayInstall,CreationDate,Creator,EditDate,Editor,delayReason,delayResolved,delayComment,delayComments,initComments,curbCuts,ImprovPrior1,ImprovPrior2,BnchShelt,_Cost,AdoptA1,AdoptA2,ParkSign1,ParkSign2,STATE,COUNTY,POINT_X,POINT_Y,new_county,new_juris
"1",{8D4F6475-CB5C-40C2-BF8B-210FACF5AE38},"236",MERCY HOSPITAL SOUTH,PARKING LOT,MERCY HOSPITAL SOUTH NB,MB,YES,YES,NO,YES,YES,ST LOUIS COUNTY,Assessment complete,No,,Nearby Structure,Yes,Yes SW compliant,"0","6.311917","3.298038",None,no,"0",No,"3046","0","1","0",,"2",,"0",MB,,concrete,,,,,concrete,"1","0","1","0",,,,,,2020-06-15T20:25:00.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",None,,No,,No,"Yes, business",None present,"Mid Bus Stop, Metro",MO,ST LOUIS COUNTY,-90.381681,38.5074210000001,ST. LOUIS COUNTY,Sunset Hills city
"2",{7E8C6A09-D59E-4F0E-93B4-AC2B0DD43DB7},"414",TELEGRAPH RD,KINGSTON DR,TELEGRAPH @ KINGSTON SB,FS,NO,NO,NO,NO,YES,ST LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No small,Yes SW compliant,"0","15.94635","23.00212",None,no,"0",No,"3009","0","0","0",,"0",,"0",FS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:25:04.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,$0-$999,No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.291397,38.511486,ST. LOUIS COUNTY,Bella Villa city
"3",{7C19685A-36CD-49CC-B22E-200AA868499C},"2425",PLYMOUTH AVE,SUTTER AVE,PLYMOUTH @ SUTTER WB,NS,NO,NO,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","4.84885","9.255576",None,no,"1",No,"3094","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:20.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"4",Low,,No,"$2,5000-$4,999",No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.301846,38.66916,ST. LOUIS COUNTY,Wellston city
"4",{7489DE7E-23EB-4204-B45B-41F3605A8CAA},"2436",PAGE AVE,N HANLEY RD,PAGE @ HANLEY WB,NS,YES,NO,YES,YES,YES,ST LOUIS COUNTY,Assessment complete,No,,Opposite Side,Yes,Yes SW compliant,"0","46.60582","58.88669",None,no,"0",No,"3094","1","0","0",,"0",,"0",NS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:22.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,Mt. Beulah Baptist Church,"4",Low,,No,"$5,000-$9,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.32749,38.682987,ST. LOUIS COUNTY,Hanley Hills village
"5",{E2D1ABE0-5117-4D90-A356-C50F91795AA1},"2455",PAGE AVE,ASHBY RD,PAGE @ ASHBY WB,MB,YES,NO,YES,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","4.196944","39.4323",None,no,"1",No,"3049, 3094","0","0","0",,"0",,"1",MB,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:26.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",None,,No,,No,"Yes, business",Other,Requirements Met,MO,ST LOUIS COUNTY,-90.392567,38.6919140000001,ST. LOUIS COUNTY,Overland city
"6",{E6A0F201-AC40-4E43-A436-6C77E0D3FB7E},"2456",PAGE AVE,WARSON RD,PAGE @ WARSON WB,FS,NO,NO,YES,NO,NO,ST LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,Yes Sholder compliant,"0","8.624026","52.00135",None,no,"1",No,"3049, 3094","0","0","0",,"1",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","1",,,,,,2020-06-15T20:26:27.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"$1,000-$2,499",No,"Yes, business",None present,FS Bus Stop,MO,ST LOUIS COUNTY,-90.397412,38.6924070000001,ST. LOUIS COUNTY,Overland city
"7",{CB4DC741-31AE-4D13-8E06-A945A4F4FD9B},"2457",PAGE AVE,GALT INDUSTRIAL BLVD,PAGE @ GALT INDUSTRIAL WB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No pad,Yes SW compliant,"0","1.253825","8.644154",None,no,"1",No,"3049, 3094","0","0","0",,"1",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","1",,,,,,2020-06-15T20:26:27.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,$0-$999,No,"Yes, business",None present,FS Bus Stop,MO,ST LOUIS COUNTY,-90.400743,38.693162,ST. LOUIS COUNTY,Creve Coeur city
"8",{8637750F-D73D-4FFD-84F6-146A4CBF3A12},"2459",PAGE AVE,RUCKERT AVE,PAGE @ RUCKERT WB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,No,No pad,Yes Sholder compliant,"0","0.111212","1.44385",None,no,"1",No,"3049, 3094","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:27.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"$1,000-$2,499",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.403424,38.6949930000001,ST. LOUIS COUNTY,Maryland Heights city
"9",{31A76BDD-FFB5-4A8F-B9AD-9ED950F3DB21},"2571",PAGE AVE,RUCKERT,PAGE @ RUCKERT EB,NS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No pad,No Sholder Narrow,"4","2.636738","0.146345",None,no,"1",No,"3049, 3094","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:38.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"2",Low,,No,"$5,000-$9,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.403833,38.695073,ST. LOUIS COUNTY,Maryland Heights city
"10",{378C930C-5770-4FFA-A943-6E96F77189BF},"2572",PAGE AVE,GALT INDUSTRIAL BLVD,PAGE @ GALT INDUSTRIAL EB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No pad,No Sholder Narrow,"2","4.76556","0.261091",None,no,"1",No,"3049, 3094","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:38.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"2",Low,,No,"$2,5000-$4,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.400956,38.6930620000001,ST. LOUIS COUNTY,Creve Coeur city
